amostra,estrato,n_celulas,n_municipios,estoque_medio_baseline,cobertura_media_baseline,atracao_media,ivs_medio,pop_mediana,prop_confirmatoria
referencia_pre_oferta_202506_1184,interior_remoto,146,75,2.458904109589041,0.7945205479452054,0.2054794520547945,0.39350000000000007,4585.5,0.6506849315068494
referencia_pre_oferta_202506_1184,capital,62,18,68.08064516129032,1.0,0.3709677419354839,0.32654838709677425,134725.5,0.532258064516129
referencia_pre_oferta_202506_1184,metropolitano,235,72,18.625531914893617,0.9872340425531915,0.48936170212765956,0.3326127659574468,39484.0,0.502127659574468
referencia_pre_oferta_202506_1184,interior_proximo_polo,741,203,9.654520917678813,0.9487179487179487,0.2834008097165992,0.3285384615384615,16145.0,0.4601889338731444
follow_comum_202603_1184,interior_remoto,146,75,3.0547945205479454,0.8082191780821918,0.2054794520547945,0.39350000000000007,4585.5,0.6506849315068494
follow_comum_202603_1184,capital,62,18,72.95161290322581,1.0,0.3709677419354839,0.32654838709677425,134725.5,0.532258064516129
follow_comum_202603_1184,metropolitano,235,72,19.52340425531915,0.9872340425531915,0.48936170212765956,0.3326127659574468,39484.0,0.502127659574468
follow_comum_202603_1184,interior_proximo_polo,741,203,10.51417004048583,0.9595141700404858,0.2834008097165992,0.3285384615384615,16145.0,0.4601889338731444
