co_ibge_6d,cod_curso,estrato,ivs_2010,log_pop,estoque_por_10k,atracao_muni,amostra_confirmatoria,estoque_baseline,cobertura_baseline,entradas_baseline,sg_uf,uf_fe,co_ibge_7d,no_municipio,macro_regiao_saude,estoque_6m,cobertura_6m,entradas_6m,saidas_3m,saldo_6m,presentes_6m,coorte_6m_madura,elegiveis_6m,presentes_baseline_6m,elegiveis_baseline_6m,coorte_madura_baseline,delta_estoque_6m,delta_estoque_jun25_mar26,delta_cobertura_6m
110001,1,interior_remoto,0.332,8.252185436003328,2.607561929595828,0,True,2,1,1.0,11,11,1100015,Alta Floresta D'Oeste,NORTE,2,1,0.0,0.0,0.0,0.0,False,,1.0,1.0,True,0,0,0
110002,1,interior_proximo_polo,0.26,10.066073979755881,5.4186145346366335,0,False,9,1,0.0,11,11,1100023,Ariquemes,NORTE,9,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
110002,2,interior_proximo_polo,0.26,10.066073979755881,5.4186145346366335,1,True,12,1,0.0,11,11,1100023,Ariquemes,NORTE,12,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
110002,7,interior_proximo_polo,0.26,10.066073979755881,5.4186145346366335,0,False,4,1,0.0,11,11,1100023,Ariquemes,NORTE,4,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
110002,9,interior_proximo_polo,0.26,10.066073979755881,5.4186145346366335,0,True,14,1,0.0,11,11,1100023,Ariquemes,NORTE,14,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
110002,10,interior_proximo_polo,0.26,10.066073979755881,5.4186145346366335,0,False,4,1,0.0,11,11,1100023,Ariquemes,NORTE,4,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
110002,11,interior_proximo_polo,0.26,10.066073979755881,5.4186145346366335,0,False,4,1,0.0,11,11,1100023,Ariquemes,NORTE,4,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
110004,5,interior_proximo_polo,0.256,9.79322615827859,0.0,0,True,1,1,0.0,11,11,1100049,Cacoal,NORTE,1,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
110005,7,interior_proximo_polo,0.305,8.196987927258897,0.0,0,False,0,0,0.0,11,11,1100056,Cerejeiras,NORTE,1,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,1,1,1
110006,7,interior_proximo_polo,0.316,8.227375506834035,0.0,0,False,0,0,0.0,11,11,1100064,Colorado do Oeste,NORTE,2,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,2,2,1
110011,1,interior_proximo_polo,0.308,9.350884616968491,8.834434016915768,0,True,7,1,0.0,11,11,1100114,Jaru,NORTE,7,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
110011,2,interior_proximo_polo,0.308,9.350884616968491,8.834434016915768,0,True,2,1,0.0,11,11,1100114,Jaru,NORTE,2,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
110011,7,interior_proximo_polo,0.308,9.350884616968491,8.834434016915768,0,False,5,1,0.0,11,11,1100114,Jaru,NORTE,7,1,2.0,0.0,2.0,0.0,False,,0.0,0.0,True,2,2,0
110011,9,interior_proximo_polo,0.308,9.350884616968491,8.834434016915768,0,True,3,1,0.0,11,11,1100114,Jaru,NORTE,4,1,2.0,0.0,2.0,0.0,False,,0.0,0.0,True,1,1,0
110011,11,interior_proximo_polo,0.308,9.350884616968491,8.834434016915768,0,False,5,1,0.0,11,11,1100114,Jaru,NORTE,6,1,1.0,0.0,1.0,0.0,False,,0.0,0.0,True,1,1,0
110012,1,interior_proximo_polo,0.289,10.33237617558788,4.0703353956366,0,True,10,1,0.0,11,11,1100122,Ji-Paraná,NORTE,11,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,1,1,0
110012,7,interior_proximo_polo,0.289,10.33237617558788,4.0703353956366,0,False,6,1,0.0,11,11,1100122,Ji-Paraná,NORTE,6,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
110012,10,interior_proximo_polo,0.289,10.33237617558788,4.0703353956366,0,False,5,1,0.0,11,11,1100122,Ji-Paraná,NORTE,5,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
110012,11,interior_proximo_polo,0.289,10.33237617558788,4.0703353956366,0,False,5,1,0.0,11,11,1100122,Ji-Paraná,NORTE,5,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
110014,1,interior_remoto,0.315,7.885329239273191,0.0,0,True,0,0,0.0,11,11,1100148,Nova Brasilândia D'Oeste,,0,0,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
110015,1,interior_proximo_polo,0.265,9.109303827798412,8.851515822084531,0,True,10,1,0.0,11,11,1100155,Ouro Preto do Oeste,NORTE,11,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,1,1,0
110018,7,interior_proximo_polo,0.25,9.006263883379198,0.0,0,False,0,0,0.0,11,11,1100189,Pimenta Bueno,NORTE,0,0,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
110018,11,interior_proximo_polo,0.25,9.006263883379198,0.0,0,False,0,0,0.0,11,11,1100189,Pimenta Bueno,NORTE,0,0,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
110020,7,capital,0.309,11.796350991168824,2.0210997795620362,0,False,28,1,0.0,11,11,1100205,Porto Velho,NORTE,27,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,-1,-1,0
110020,9,capital,0.309,11.796350991168824,2.0210997795620362,1,True,61,1,0.0,11,11,1100205,Porto Velho,NORTE,57,1,0.0,1.0,-1.0,0.0,False,,0.0,0.0,True,-4,-4,0
110020,10,capital,0.309,11.796350991168824,2.0210997795620362,1,False,25,1,0.0,11,11,1100205,Porto Velho,NORTE,24,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,-1,-1,0
110020,11,capital,0.309,11.796350991168824,2.0210997795620362,0,False,25,1,0.0,11,11,1100205,Porto Velho,NORTE,24,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,-1,-1,0
110025,1,interior_remoto,0.357,8.253748343328501,2.6034886748242645,0,True,1,1,0.0,11,11,1100254,Presidente Médici,,1,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
110028,1,interior_proximo_polo,0.279,9.391911647379434,8.68779538504309,0,True,5,1,0.0,11,11,1100288,Rolim de Moura,NORTE,8,1,1.0,0.0,1.0,0.0,False,,0.0,0.0,True,3,3,0
110028,7,interior_proximo_polo,0.279,9.391911647379434,8.68779538504309,0,False,0,0,0.0,11,11,1100288,Rolim de Moura,NORTE,0,0,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
110028,8,interior_proximo_polo,0.279,9.391911647379434,8.68779538504309,0,False,11,1,0.0,11,11,1100288,Rolim de Moura,NORTE,11,1,1.0,0.0,1.0,0.0,False,,0.0,0.0,True,0,0,0
110028,9,interior_proximo_polo,0.279,9.391911647379434,8.68779538504309,0,True,3,1,0.0,11,11,1100288,Rolim de Moura,NORTE,4,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,1,1,0
110028,10,interior_proximo_polo,0.279,9.391911647379434,8.68779538504309,0,False,0,0,0.0,11,11,1100288,Rolim de Moura,NORTE,0,0,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
110028,11,interior_proximo_polo,0.279,9.391911647379434,8.68779538504309,0,False,0,0,0.0,11,11,1100288,Rolim de Moura,NORTE,0,0,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
110028,14,interior_proximo_polo,0.279,9.391911647379434,8.68779538504309,1,True,8,1,0.0,11,11,1100288,Rolim de Moura,NORTE,8,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
110030,7,interior_proximo_polo,0.259,9.889439336810069,14.494590939824205,0,False,9,1,0.0,11,11,1100304,Vilhena,NORTE,12,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,3,3,0
110030,8,interior_proximo_polo,0.259,9.889439336810069,14.494590939824205,1,False,23,1,1.0,11,11,1100304,Vilhena,NORTE,24,1,0.0,0.0,0.0,0.0,False,,1.0,1.0,True,1,1,0
110030,9,interior_proximo_polo,0.259,9.889439336810069,14.494590939824205,0,True,17,1,0.0,11,11,1100304,Vilhena,NORTE,13,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,-4,-4,0
110030,10,interior_proximo_polo,0.259,9.889439336810069,14.494590939824205,0,False,9,1,0.0,11,11,1100304,Vilhena,NORTE,12,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,3,3,0
110030,11,interior_proximo_polo,0.259,9.889439336810069,14.494590939824205,0,False,9,1,0.0,11,11,1100304,Vilhena,NORTE,12,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,3,3,0
110032,1,interior_remoto,0.336,7.848153086199526,0.0,0,True,0,0,0.0,11,11,1100320,São Miguel do Guaporé,,0,0,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
110034,14,interior_remoto,0.279,7.903596289614301,0.0,0,True,0,0,0.0,11,11,1100346,Alvorada D'Oeste,,1,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,1,1,1
110140,7,interior_remoto,0.277,7.674617497364363,0.0,0,False,0,0,0.0,11,11,1101401,Monte Negro,NORTE,3,1,2.0,0.0,2.0,0.0,False,,0.0,0.0,True,3,3,1
110140,11,interior_remoto,0.277,7.674617497364363,0.0,0,False,0,0,0.0,11,11,1101401,Monte Negro,NORTE,3,1,2.0,0.0,2.0,0.0,False,,0.0,0.0,True,3,3,1
110149,1,interior_remoto,0.387,7.846980982138788,49.53721809412072,0,True,3,1,0.0,11,11,1101492,São Francisco do Guaporé,,6,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,3,3,0
110170,1,interior_remoto,0.299,7.325807502595773,6.038647342995169,0,True,1,1,0.0,11,11,1101708,Urupá,,0,0,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,-1,-1,-1
120010,1,interior_proximo_polo,0.426,8.550627967502475,9.511833365576836,0,True,3,1,0.0,12,12,1200104,Brasiléia,NORTE,3,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
120010,12,interior_proximo_polo,0.426,8.550627967502475,9.511833365576836,0,True,0,0,0.0,12,12,1200104,Brasiléia,NORTE,0,0,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
120010,14,interior_proximo_polo,0.426,8.550627967502475,9.511833365576836,0,True,1,1,0.0,12,12,1200104,Brasiléia,NORTE,1,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
120020,6,interior_proximo_polo,0.411,9.90028242158718,7.984282250647938,0,False,26,1,0.0,12,12,1200203,Cruzeiro do Sul,,32,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,6,6,0
120020,9,interior_proximo_polo,0.411,9.90028242158718,7.984282250647938,0,True,10,1,0.0,12,12,1200203,Cruzeiro do Sul,,12,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,2,2,0
120020,11,interior_proximo_polo,0.411,9.90028242158718,7.984282250647938,0,False,3,1,0.0,12,12,1200203,Cruzeiro do Sul,,3,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
120020,12,interior_proximo_polo,0.411,9.90028242158718,7.984282250647938,0,True,4,1,0.0,12,12,1200203,Cruzeiro do Sul,,4,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
120020,14,interior_proximo_polo,0.411,9.90028242158718,7.984282250647938,1,True,11,1,0.0,12,12,1200203,Cruzeiro do Sul,,11,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
120030,1,interior_remoto,0.498,8.601166625192416,0.0,0,True,0,0,0.0,12,12,1200302,Feijó,,0,0,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
120033,1,interior_remoto,0.427,8.142936010432265,0.4847779716889664,0,True,1,1,0.0,12,12,1200336,Mâncio Lima,,2,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,1,1,0
120038,1,interior_remoto,0.466,8.22040309993373,21.085688649618664,0,True,8,1,0.0,12,12,1200385,Plácido de Castro,,8,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
120040,3,capital,0.343,11.6337350271823,7.355547678128323,1,True,4,1,0.0,12,12,1200401,Rio Branco,NORTE,4,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
120040,4,capital,0.343,11.6337350271823,7.355547678128323,0,False,2,1,0.0,12,12,1200401,Rio Branco,NORTE,2,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
120040,5,capital,0.343,11.6337350271823,7.355547678128323,0,True,7,1,0.0,12,12,1200401,Rio Branco,NORTE,7,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
120040,6,capital,0.343,11.6337350271823,7.355547678128323,0,False,80,1,0.0,12,12,1200401,Rio Branco,NORTE,84,1,0.0,1.0,-1.0,0.0,False,,0.0,0.0,True,4,4,0
120040,7,capital,0.343,11.6337350271823,7.355547678128323,0,False,22,1,0.0,12,12,1200401,Rio Branco,NORTE,20,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,-2,-2,0
120040,9,capital,0.343,11.6337350271823,7.355547678128323,0,True,44,1,0.0,12,12,1200401,Rio Branco,NORTE,43,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,-1,-1,0
120040,10,capital,0.343,11.6337350271823,7.355547678128323,0,False,20,1,0.0,12,12,1200401,Rio Branco,NORTE,18,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,-2,-2,0
120040,11,capital,0.343,11.6337350271823,7.355547678128323,0,False,20,1,0.0,12,12,1200401,Rio Branco,NORTE,18,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,-2,-2,0
120040,13,capital,0.343,11.6337350271823,7.355547678128323,0,True,5,1,0.0,12,12,1200401,Rio Branco,NORTE,5,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
120040,14,capital,0.343,11.6337350271823,7.355547678128323,0,True,46,1,0.0,12,12,1200401,Rio Branco,NORTE,46,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
120045,1,interior_remoto,0.387,8.53089883847235,4.932912391475927,0,True,3,1,0.0,12,12,1200450,Senador Guiomard,,3,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
130080,8,interior_remoto,0.425,8.651024539049757,1.7497812773403325,0,False,1,1,0.0,13,13,1300805,Borba,,1,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
130120,11,interior_remoto,0.446,9.896211143565353,0.5036768409388536,0,False,1,1,0.0,13,13,1301209,Coari,NORTE,1,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
130170,8,interior_remoto,0.401,9.276502574229852,2.808199943836001,1,False,3,1,0.0,13,13,1301704,Humaitá,NORTE,5,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,2,2,0
130190,11,metropolitano,0.335,10.03950335645357,0.4364334657181512,0,False,1,1,0.0,13,13,1301902,Itacoatiara,NORTE,1,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
130250,8,metropolitano,0.458,10.074116010739036,3.3375491849353573,1,False,13,1,0.0,13,13,1302504,Manacapuru,NORTE,17,1,2.0,0.0,2.0,0.0,False,,0.0,0.0,True,4,4,0
130260,4,capital,0.414,13.38920988926797,0.3152509474120577,0,False,12,1,0.0,13,13,1302603,Manaus,NORTE,16,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,4,4,0
130260,5,capital,0.414,13.38920988926797,0.3152509474120577,0,False,22,1,3.0,13,13,1302603,Manaus,NORTE,26,1,0.0,0.0,0.0,0.0,False,,3.0,3.0,True,4,4,0
130260,12,capital,0.414,13.38920988926797,0.3152509474120577,0,True,40,1,0.0,13,13,1302603,Manaus,NORTE,26,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,-14,-14,0
130260,13,capital,0.414,13.38920988926797,0.3152509474120577,0,True,6,1,0.0,13,13,1302603,Manaus,NORTE,7,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,1,1,0
130260,16,capital,0.414,13.38920988926797,0.3152509474120577,1,True,19,1,0.0,13,13,1302603,Manaus,NORTE,19,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
130270,8,interior_remoto,0.475,8.904901577935142,8.596896068051219,0,False,6,1,0.0,13,13,1302702,Manicoré,NORTE,6,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
130340,1,interior_proximo_polo,0.347,10.274395721835582,7.591442374051069,1,True,5,1,0.0,13,13,1303403,Parintins,NORTE,5,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
130340,7,interior_proximo_polo,0.347,10.274395721835582,7.591442374051069,0,False,5,1,0.0,13,13,1303403,Parintins,NORTE,6,1,1.0,0.0,1.0,0.0,False,,0.0,0.0,True,1,1,0
130340,8,interior_proximo_polo,0.347,10.274395721835582,7.591442374051069,1,False,9,1,0.0,13,13,1303403,Parintins,NORTE,11,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,2,2,0
130340,10,interior_proximo_polo,0.347,10.274395721835582,7.591442374051069,0,False,5,1,0.0,13,13,1303403,Parintins,NORTE,5,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
130340,11,interior_proximo_polo,0.347,10.274395721835582,7.591442374051069,1,False,5,1,0.0,13,13,1303403,Parintins,NORTE,5,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
130340,15,interior_proximo_polo,0.347,10.274395721835582,7.591442374051069,0,True,1,1,0.0,13,13,1303403,Parintins,NORTE,1,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
130395,8,interior_remoto,0.393,7.757906208351747,4.275331338178709,1,False,1,1,0.0,13,13,1303957,São Sebastião do Uatumã,NORTE,2,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,1,1,0
130406,1,interior_proximo_polo,0.496,9.582317635923358,6.319659887395151,1,True,8,1,1.0,13,13,1304062,Tabatinga,NORTE,8,1,5.0,0.0,5.0,0.0,False,,1.0,1.0,True,0,0,0
130406,2,interior_proximo_polo,0.496,9.582317635923358,6.319659887395151,0,True,7,1,0.0,13,13,1304062,Tabatinga,NORTE,15,1,3.0,0.0,3.0,0.0,False,,0.0,0.0,True,8,8,0
130420,8,interior_proximo_polo,0.459,9.907877900837422,2.240254891223179,1,False,6,1,0.0,13,13,1304203,Tefé,,6,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
130420,11,interior_proximo_polo,0.459,9.907877900837422,2.240254891223179,0,False,1,1,0.0,13,13,1304203,Tefé,,1,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
140010,1,capital,0.274,11.499749035853597,13.924072009997635,1,True,48,1,3.0,14,RESTO,1400100,Boa Vista,NORTE,49,1,1.0,0.0,1.0,0.0,False,,3.0,3.0,True,1,1,0
140010,2,capital,0.274,11.499749035853597,13.924072009997635,1,True,57,1,0.0,14,RESTO,1400100,Boa Vista,NORTE,54,1,0.0,1.0,-1.0,0.0,False,,0.0,0.0,True,-3,-3,0
140010,4,capital,0.274,11.499749035853597,13.924072009997635,1,False,3,1,0.0,14,RESTO,1400100,Boa Vista,NORTE,3,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
140010,5,capital,0.274,11.499749035853597,13.924072009997635,0,True,3,1,1.0,14,RESTO,1400100,Boa Vista,NORTE,3,1,0.0,0.0,0.0,0.0,False,,1.0,1.0,True,0,0,0
140010,6,capital,0.274,11.499749035853597,13.924072009997635,1,False,66,1,0.0,14,RESTO,1400100,Boa Vista,NORTE,67,1,1.0,0.0,1.0,0.0,False,,0.0,0.0,True,1,1,0
140010,7,capital,0.274,11.499749035853597,13.924072009997635,0,False,20,1,0.0,14,RESTO,1400100,Boa Vista,NORTE,21,1,1.0,0.0,1.0,0.0,False,,0.0,0.0,True,1,1,0
140010,8,capital,0.274,11.499749035853597,13.924072009997635,1,False,66,1,0.0,14,RESTO,1400100,Boa Vista,NORTE,67,1,1.0,0.0,1.0,0.0,False,,0.0,0.0,True,1,1,0
140010,9,capital,0.274,11.499749035853597,13.924072009997635,0,True,29,1,0.0,14,RESTO,1400100,Boa Vista,NORTE,26,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,-3,-3,0
140010,10,capital,0.274,11.499749035853597,13.924072009997635,0,False,17,1,0.0,14,RESTO,1400100,Boa Vista,NORTE,18,1,1.0,0.0,1.0,0.0,False,,0.0,0.0,True,1,1,0
140010,11,capital,0.274,11.499749035853597,13.924072009997635,0,False,17,1,0.0,14,RESTO,1400100,Boa Vista,NORTE,18,1,1.0,0.0,1.0,0.0,False,,0.0,0.0,True,1,1,0
140010,12,capital,0.274,11.499749035853597,13.924072009997635,0,True,5,1,0.0,14,RESTO,1400100,Boa Vista,NORTE,5,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
140010,13,capital,0.274,11.499749035853597,13.924072009997635,0,True,1,1,0.0,14,RESTO,1400100,Boa Vista,NORTE,1,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
140010,14,capital,0.274,11.499749035853597,13.924072009997635,0,True,42,1,0.0,14,RESTO,1400100,Boa Vista,NORTE,45,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,3,3,0
140010,15,capital,0.274,11.499749035853597,13.924072009997635,1,True,9,1,0.0,14,RESTO,1400100,Boa Vista,NORTE,11,1,1.0,0.0,1.0,0.0,False,,0.0,0.0,True,2,2,0
140047,1,metropolitano,0.393,8.344742754417545,32.88170509468346,0,True,3,1,0.0,14,RESTO,1400472,Rorainópolis,NORTE,2,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,-1,-1,0
140047,2,metropolitano,0.393,8.344742754417545,32.88170509468346,0,True,3,1,0.0,14,RESTO,1400472,Rorainópolis,NORTE,5,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,2,2,0
140047,6,metropolitano,0.393,8.344742754417545,32.88170509468346,0,False,4,1,0.0,14,RESTO,1400472,Rorainópolis,NORTE,2,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,-2,-2,0
140047,7,metropolitano,0.393,8.344742754417545,32.88170509468346,0,False,1,1,0.0,14,RESTO,1400472,Rorainópolis,NORTE,1,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
140047,10,metropolitano,0.393,8.344742754417545,32.88170509468346,0,False,1,1,0.0,14,RESTO,1400472,Rorainópolis,NORTE,1,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
140047,11,metropolitano,0.393,8.344742754417545,32.88170509468346,0,False,1,1,0.0,14,RESTO,1400472,Rorainópolis,NORTE,1,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
140047,14,metropolitano,0.393,8.344742754417545,32.88170509468346,1,True,1,1,0.0,14,RESTO,1400472,Rorainópolis,NORTE,2,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,1,1,0
140047,15,metropolitano,0.393,8.344742754417545,32.88170509468346,0,True,1,1,0.0,14,RESTO,1400472,Rorainópolis,NORTE,1,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
150060,1,interior_proximo_polo,0.381,10.33514009039794,6.54868214536992,0,True,17,1,0.0,15,15,1500602,Altamira,NORTE,15,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,-2,-2,0
150060,7,interior_proximo_polo,0.381,10.33514009039794,6.54868214536992,0,False,4,1,0.0,15,15,1500602,Altamira,NORTE,3,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,-1,-1,0
150060,8,interior_proximo_polo,0.381,10.33514009039794,6.54868214536992,0,False,21,1,0.0,15,15,1500602,Altamira,NORTE,20,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,-1,-1,0
150060,10,interior_proximo_polo,0.381,10.33514009039794,6.54868214536992,0,False,4,1,0.0,15,15,1500602,Altamira,NORTE,3,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,-1,-1,0
150060,11,interior_proximo_polo,0.381,10.33514009039794,6.54868214536992,0,False,4,1,0.0,15,15,1500602,Altamira,NORTE,3,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,-1,-1,0
150060,14,interior_proximo_polo,0.381,10.33514009039794,6.54868214536992,1,True,16,1,0.0,15,15,1500602,Altamira,NORTE,14,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,-2,-2,0
150085,1,interior_remoto,0.573,8.205218426395412,2.7329871549603717,0,True,0,0,0.0,15,15,1500859,Anapu,,0,0,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
150085,11,interior_remoto,0.573,8.205218426395412,2.7329871549603717,0,False,0,0,0.0,15,15,1500859,Anapu,,0,0,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
150085,14,interior_remoto,0.573,8.205218426395412,2.7329871549603717,0,True,1,1,0.0,15,15,1500859,Anapu,,1,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
150140,4,capital,0.334,13.159127228789044,1.5534945112002614,1,False,16,1,0.0,15,15,1501402,Belém,NORTE,16,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
150140,7,capital,0.334,13.159127228789044,1.5534945112002614,1,False,131,1,0.0,15,15,1501402,Belém,NORTE,126,1,0.0,1.0,-1.0,0.0,False,,0.0,0.0,True,-5,-5,0
150140,10,capital,0.334,13.159127228789044,1.5534945112002614,0,False,117,1,0.0,15,15,1501402,Belém,NORTE,111,1,0.0,1.0,-1.0,0.0,False,,0.0,0.0,True,-6,-6,0
150140,11,capital,0.334,13.159127228789044,1.5534945112002614,0,False,117,1,0.0,15,15,1501402,Belém,NORTE,111,1,0.0,1.0,-1.0,0.0,False,,0.0,0.0,True,-6,-6,0
150140,16,capital,0.334,13.159127228789044,1.5534945112002614,0,True,30,1,0.0,15,15,1501402,Belém,NORTE,30,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,0,0,0
150170,1,interior_proximo_polo,0.413,10.341968264428457,4.972155926809864,0,True,6,1,0.0,15,15,1501709,Bragança,NORTE,6,1,0.0,1.0,-1.0,0.0,False,,0.0,0.0,True,0,0,0
150170,7,interior_proximo_polo,0.413,10.341968264428457,4.972155926809864,0,False,7,1,0.0,15,15,1501709,Bragança,NORTE,6,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,-1,-1,0
150170,9,interior_proximo_polo,0.413,10.341968264428457,4.972155926809864,0,True,10,1,0.0,15,15,1501709,Bragança,NORTE,12,1,0.0,1.0,-1.0,0.0,False,,0.0,0.0,True,2,2,0
150170,10,interior_proximo_polo,0.413,10.341968264428457,4.972155926809864,0,False,7,1,0.0,15,15,1501709,Bragança,NORTE,6,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,-1,-1,0
150170,11,interior_proximo_polo,0.413,10.341968264428457,4.972155926809864,0,False,7,1,0.0,15,15,1501709,Bragança,NORTE,6,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,-1,-1,0
150170,12,interior_proximo_polo,0.413,10.341968264428457,4.972155926809864,1,True,0,0,0.0,15,15,1501709,Bragança,NORTE,1,1,0.0,0.0,0.0,0.0,False,,0.0,0.0,True,1,1,1
